,Company Name,Reviews,Rating,Salaries,Interviews,Jobs,Benifits
266,UPL,3.1k,4.1,11.2k,218,48,292
267,Marpu Foundation,3.1k,4.9,60,265,--,8
268,Max Healthcare,3.1k,3.9,10.4k,187,110,276
269,PepsiCo,3.1k,4.0,13.4k,237,332,244
270,Amazon Transportation Services,3.1k,4.2,8.4k,256,--,246
271,Titan Company,3.1k,4.2,9.6k,202,116,332
272,Dilip Buildcon,3.1k,3.9,8k,188,20,298
273,Walmart,3.1k,3.5,22.6k,440,197,320
274,Mankind Pharma,3.1k,3.8,9.5k,255,8,247
275,Varroc Group,3.1k,3.6,9.4k,221,66,230
276,Jindal Stainless,3.1k,4.2,11.5k,313,9,186
277,S&P Global,3.1k,4.0,20.4k,330,575,212
278,MSN Laboratories,3k,3.6,9.4k,171,31,155
279,Quest Global,3k,3.5,21.3k,360,176,191
280,Future Group,3k,4.2,6.7k,84,--,423
281,Societe Generale Global Solution Centre,3k,3.6,23k,296,98,293
282,Afcons Infrastructure,3k,4.2,8.6k,266,32,309
283,Sagility,3k,3.9,11.7k,245,98,36
284,Torrent Pharmaceuticals,3k,4.0,10.3k,168,34,310
285,IDFC FIRST Bharat,3k,4.2,5k,151,7,71
286,Square Yards,3k,3.6,9.2k,228,52,232
287,ESAF Small Finance Bank,3k,3.6,7.8k,167,37,104
288,HDFC Sales,3k,3.9,8.3k,190,10,190
289,Ola Electric Mobility,3k,3.3,9.4k,303,--,76
290,CMS IT Services,3k,3.1,9.4k,158,35,193
291,Zensar Technologies,2.9k,3.7,25.6k,278,409,243
292,I Process Services,2.9k,3.8,5.4k,134,--,127
293,ACC,2.9k,3.9,9k,234,--,271
294,DS Group,2.9k,4.1,7.3k,217,51,207
295,Suzlon Group,2.9k,4.0,7.7k,177,29,322
296,Tata Elxsi,2.9k,3.5,23k,340,39,202
297,Eternal Limited,2.9k,3.7,14.6k,362,12,218
298,Fujitsu,2.9k,3.8,17.4k,214,160,190
299,Bharat Financial Inclusion,2.9k,3.7,5k,125,3,174
300,VVDN Technologies,2.9k,3.6,13.6k,259,5,127
301,Shoppers Stop,2.9k,4.0,6.9k,144,73,320
302,Indus Towers,2.9k,3.6,9k,226,34,202
303,Nokia,2.9k,4.0,16.5k,319,296,538
304,Apollo Tyres,2.9k,4.0,9.9k,151,--,320
305,Yazaki,2.9k,3.9,9k,182,--,253
306,IKS Health,2.8k,3.6,11.3k,264,20,225
307,Fiserv,2.8k,2.9,17.7k,193,16,311
308,Shree Cement,2.8k,3.8,9.7k,221,7,214
309,UnitedHealth,2.8k,4.0,14.3k,84,--,432
310,Britannia,2.8k,4.0,8.3k,229,11,245
311,SRF,2.8k,4.1,8.9k,209,13,248
312,Landmark Group,2.8k,3.8,9.4k,175,8,267
313,Dalmia Bharat Cement,2.7k,3.9,4.3k,200,3,243
314,Zepto,2.7k,3.5,9.2k,447,36,28
315,Blue Dart Express Ltd,2.7k,3.9,6.8k,128,20,233
316,Tata Electronics,2.7k,3.9,11.2k,258,75,61
317,Kansai Nerolac Paints,2.7k,3.8,7.7k,190,73,189
318,Exide Industries,2.7k,3.4,8.7k,215,80,242
319,Nestlé,2.7k,3.8,9.9k,285,29,319
320,Shell,2.7k,3.9,14k,237,84,257
321,Whitehat jr,2.7k,3.3,9.4k,265,--,944
322,KPMG Global Services,2.7k,3.5,24k,257,19,6
323,ZS,2.7k,3.1,20.2k,521,198,261
324,Flex,2.7k,3.9,15.8k,213,67,439
325,Micro Labs,2.7k,3.6,9.8k,152,19,205
326,Star Health & Allied Insurance,2.7k,3.5,10.1k,156,16,164
327,TVS Supply Chain Solutions,2.7k,3.8,8.4k,158,14,191
328,Capita,2.7k,3.5,12.9k,165,57,330
329,ElasticRun,2.6k,3.6,6.1k,274,1,224
330,KFintech,2.6k,3.4,11.1k,170,4,47
